neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous,estimated_diameter_km_min,estimated_diameter_km_max,estimated_diameter_km_mean,albedo_estimated,type_from_albedo,density_assumed_kg_m3,mass_min_kg,mass_max_kg,impact_energy_min_Mt,impact_energy_max_Mt,orbital.a_au,orbital.e,orbital.i_deg,orbital.period_days,close_approach.close_approach_date,close_approach.relative_velocity_kms,close_approach.miss_distance_km,close_approach.orbiting_body,nasa_jpl_url,sentry_object
2005626,5626 Melissabrucker (1991 FE),14.33,False,3.618719966,8.0917038355,5.8552119007500005,0.09549150281242695,S-like,3000,74436305022367.03,832223190115989.8,2570756.710261003,28741933.78866169,2.194892413659413,0.4545111142354068,3.848768468053328,1187.731522967462,1928-Jun-27 15:39,9.4547107436,6958019.699888217,Mars,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005626,False
2005645,5645 (1990 SP),17.23,False,0.9518203298,2.1283349598,1.5400776448,0.09549150281624201,S-like,3000,1354518081523.0872,15143972535211.006,46780.08192640681,523017.2159029614,1.354541944748934,0.387314666028303,13.50516942166606,575.8204887116719,1901-Mar-22 16:42,19.0018757957,53640272.9089613,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005645,False
2005646,5646 (1990 TR),15.51,False,2.1016237932,4.6993736648,3.400498729,0.09549150281259153,S-like,3000,14580915960296.68,163019596314859.47,503571.3088582386,5630098.390893211,2.144196446519207,0.4358498675412124,7.905627131161188,1146.82007010809,1921-Sep-21 03:54,5.1390320803,45575273.207163244,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005646,False
2005653,5653 Camarillo (1992 WD5),16.22,False,1.5154966357,3.3887534971,2.4521250664,0.09549150281522753,S-like,3000,5467449833064.651,61127947451651.04,188825.6455252969,2111134.896454009,1.794081898439043,0.3044011471264189,6.874690106861194,877.7317805938476,1916-Jul-19 07:57,8.7217308247,14848699.945116444,Mars,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005653,False
2005660,5660 (1974 MA),15.38,False,2.2312846442,4.9893041415,3.61029439285,0.09549150281202064,S-like,3000,17449573114595.604,195092158303249.25,602644.1957598147,6737766.939488412,1.785567735658786,0.7619876067297139,38.14407221766631,871.4910304497937,1900-Jul-23 19:12,37.2393525232,47210761.345604055,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005660,False
2005693,5693 (1993 EA),16.78,True,1.1709948272,2.6184240349,1.89470943105,0.09549150281359338,S-like,3000,2522230696128.207,28199396456756.074,87108.58881226719,973903.63001942,1.270567823656193,0.5851004346979131,5.058852629484916,523.1126305857467,1902-Jan-05 10:35,25.3294983456,20577254.412340436,Venus,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005693,False
2005731,5731 Zeus (1988 VP4),15.47,False,2.1406958967,4.7867415442,3.46371872045,0.09549150281250146,S-like,3000,15409367287578.371,172281963729018.0,532182.9763515953,5949986.558040894,2.265400570709435,0.6524094997040029,11.20075706543676,1245.420285449586,1926-Jan-25 01:15,5.3857474066,265530115.80650187,Juptr,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005731,False
2005751,5751 Zao (1992 AC),14.94,False,2.7324673204,6.1099826748,4.4212249976,0.09549150281201563,S-like,3000,32046810097950.965,358294229220865.25,1106779.1728379338,12374167.33327319,2.101486713080365,0.425326077657129,16.07378889539291,1112.726419329271,,,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005751,False
2005786,5786 Talos (1991 RC),17.15,False,0.9875406389,2.2082079992,1.59787431905,0.0954915028157737,S-like,3000,1512811463611.907,16913746350632.85,52246.954228470495,584138.7064212349,1.081512686589752,0.8268298169951958,23.22311248966323,410.8145854363995,,,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005786,False
2005797,5797 Bivoj (1980 AA),18.89,False,0.4431543091,0.9909231597,0.7170387344,0.09549150280677897,S-like,3000,136705128313.76093,1528409799052.8857,4721.293269918368,52785.66347111425,1.893839399065675,0.4443397656934985,4.190350126891623,951.9478291019349,1954-Jan-22 07:48,6.5462276888,15718713.031401664,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005797,False
2005828,5828 (1991 AM),15.96,False,1.7082639526,3.8197943216,2.7640291371,0.09549150281317415,S-like,3000,7830415490751.063,87546706652016.42,270433.80459214357,3023541.852585175,1.698310968148882,0.6948660642238859,30.17576938814154,808.3961722683171,,,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005828,False
2005836,5836 (1993 MF),14.99,False,2.6702687706,5.9709024892,4.3205856299,0.09549150281090979,S-like,3000,29907823352744.266,334379630369485.2,1032906.4231528552,11548244.882502537,2.438887690424682,0.5383190811625758,7.933591152509291,1391.188981995421,1907-Sep-11 06:03,2.4751667603,263006695.59930936,Juptr,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005836,False
2005863,5863 Tara (1983 RB),15.84,False,1.8053232555,4.0368255207,2.9210743881,0.09549150281082039,S-like,3000,9242400989979.395,103333184447657.9,319198.6001558371,3568748.841464285,2.220521792827451,0.5072831222027552,19.50910982342812,1208.595538142494,1930-Aug-19 04:05,13.2336587652,36078130.78957755,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005863,False
2005869,5869 Tanith (1988 VN4),17.22,False,0.9562137328,2.1381589077,1.5471863202499998,0.09549150281264282,S-like,3000,1373361304934.4434,15354646180530.46,47430.85768714796,530293.1102023546,1.812114593130848,0.3213945232064802,17.9249998875992,890.9983782632452,1910-Dec-05 17:33,9.6833212321,49353730.742360115,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005869,False
2005879,5879 Almeria (1992 CH1),17.61,False,0.7990150812,1.7866520367,1.29283355895,0.09549150281515394,S-like,3000,801280929757.4421,8958593141402.46,27673.301708879157,309396.9189609597,1.624694513215152,0.2891396091282228,21.57501025970944,756.407798237474,1905-Feb-13 19:31,11.6327168829,25530592.01411444,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005879,False
